Model,Weights,map_person_light,map_person_moderate,map_person_dense,map_person_avg,map_car_light,map_car_moderate,map_car_dense,map_car_avg,map_motorcycle_light,map_motorcycle_moderate,map_motorcycle_dense,map_motorcycle_avg,map_bus_light,map_bus_moderate,map_bus_dense,map_bus_avg,map_truck_light,map_truck_moderate,map_truck_dense,map_truck_avg,map_traffic light_light,map_traffic light_moderate,map_traffic light_dense,map_traffic light_avg,map_stop sign_light,map_stop sign_moderate,map_stop sign_dense,map_stop sign_avg,map_class_33_light,map_class_33_moderate,map_class_33_dense,map_class_33_avg
Static_Baseline_ss (Best),best_baseline_SS_mAP.pt,0.06559406220912933,0.037128712981939316,0.0063806381076574326,0.026758374646306038,0.530544638633728,0.5216019749641418,0.4778093695640564,0.5093001127243042,0.0,0.024752475321292877,0.049504950642585754,0.026402641087770462,0.08257149904966354,0.10384957492351532,0.10559811443090439,0.07815703004598618,0.2067500352859497,0.209762841463089,0.23266541957855225,0.20697417855262756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Baseline_ss (Final),final_baseline_SS_epoch60.pt,0.0330033004283905,0.025371287018060684,0.009900989942252636,0.01835128478705883,0.5366101861000061,0.4943086504936218,0.5050257444381714,0.5112740993499756,0.0,0.0,0.0,0.0,0.039934996515512466,0.04598136246204376,0.08092409372329712,0.04531780630350113,0.22573116421699524,0.24379058182239532,0.2279403656721115,0.2174048274755478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Backarb_ss (Best),best_backARB_SS_mAP.pt,0.11739745736122131,0.18669511377811432,0.12293729186058044,0.1304813027381897,0.7110257148742676,0.7274705171585083,0.6880548596382141,0.7084603905677795,0.049504950642585754,0.049504950642585754,0.049504950642585754,0.049504950642585754,0.14763124287128448,0.12788236141204834,0.16934460401535034,0.12715114653110504,0.3883988559246063,0.38585177063941956,0.381133109331131,0.376336008310318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Backarb_ss (Final),final_backARB_SS_epoch60.pt,0.11916548758745193,0.07425742596387863,0.09975247830152512,0.09528952836990356,0.7198926210403442,0.7051137089729309,0.6812691688537598,0.7017967104911804,0.024752475321292877,0.049504950642585754,0.049504950642585754,0.047029703855514526,0.08834729343652725,0.1616336703300476,0.12460476905107498,0.10992849618196487,0.32196930050849915,0.3484250605106354,0.30734166502952576,0.32245421409606934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Decarb_ss (Best),best_decARB_SS_mAP.pt,0.013277558609843254,0.024181263521313667,0.013758518733084202,0.01532277837395668,0.5272475481033325,0.5026504993438721,0.45341911911964417,0.4913492500782013,0.0,0.0,0.049504950642585754,0.019801979884505272,0.03057697042822838,0.058557283133268356,0.07920791953802109,0.049950480461120605,0.267905592918396,0.24384407699108124,0.24705870449543,0.24300208687782288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Decarb_ss (Final),final_decARB_SS_epoch60.pt,0.023102309554815292,0.023102309554815292,0.023102309554815292,0.022359736263751984,0.49283963441848755,0.4697432518005371,0.43421220779418945,0.4616776704788208,0.049504950642585754,0.049504950642585754,0.0,0.019801979884505272,0.018564356490969658,0.03224894031882286,0.032809555530548096,0.026433877646923065,0.23727327585220337,0.24186314642429352,0.27142179012298584,0.2443176805973053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Botharb_ss (Best),best_bothARB_SS_mAP.pt,0.10462719947099686,0.14394515752792358,0.1519899070262909,0.13062423467636108,0.711258053779602,0.7239876389503479,0.7002399563789368,0.709480345249176,0.01650165021419525,0.012376237660646439,0.0,0.009900989942252636,0.034897331148386,0.059498995542526245,0.06864731758832932,0.056341659277677536,0.3791874945163727,0.36039870977401733,0.3730330169200897,0.36542290449142456,0.025894897058606148,0.11221121996641159,0.0,0.016616445034742355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Botharb_ss (Final),final_bothARB_SS_epoch60.pt,0.27153465151786804,0.23465345799922943,0.3140040338039398,0.26715388894081116,0.7328122854232788,0.7118790149688721,0.6942813396453857,0.7122266888618469,0.0,0.049504950642585754,0.049504950642585754,0.039603959769010544,0.09900990128517151,0.09306930750608444,0.10289957374334335,0.08484069257974625,0.3599790632724762,0.3170001208782196,0.3387996554374695,0.3331071436405182,0.0,0.06732673197984695,0.0,0.005940594244748354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Backarb_scale (Best),best_dynamic-backARB_Scale_mAP.pt,0.09203652292490005,0.06642696261405945,0.11030921339988708,0.07802931219339371,0.7010895013809204,0.704983651638031,0.666938304901123,0.6880583167076111,0.049504950642585754,0.09900990128517151,0.049504950642585754,0.06094609573483467,0.13554421067237854,0.09593946486711502,0.07024464011192322,0.08953006565570831,0.39308133721351624,0.37048378586769104,0.34226274490356445,0.36416497826576233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Backarb_scale (Final),final_dynamic-backARB_Scale_epoch60.pt,0.0891089141368866,0.12313374131917953,0.14526952803134918,0.11664228141307831,0.723180890083313,0.7115834355354309,0.6936869621276855,0.7027322053909302,0.0,0.0,0.066006600856781,0.012258368544280529,0.018404193222522736,0.01563314162194729,0.02574257366359234,0.017854243516921997,0.310675710439682,0.3004349172115326,0.2796679437160492,0.2901586890220642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
