Model,Weights,map_person_light,map_person_moderate,map_person_dense,map_person_avg,map_car_light,map_car_moderate,map_car_dense,map_car_avg,map_motorcycle_light,map_motorcycle_moderate,map_motorcycle_dense,map_motorcycle_avg,map_bus_light,map_bus_moderate,map_bus_dense,map_bus_avg,map_truck_light,map_truck_moderate,map_truck_dense,map_truck_avg,map_traffic light_light,map_traffic light_moderate,map_traffic light_dense,map_traffic light_avg,map_stop sign_light,map_stop sign_moderate,map_stop sign_dense,map_stop sign_avg,map_class_33_light,map_class_33_moderate,map_class_33_dense,map_class_33_avg
Static_Baseline (Best),best_baseline_mAP.pt,0.0750589370727539,0.11289700120687485,0.11881188303232193,0.09388986974954605,0.5946821570396423,0.5892292857170105,0.5557702779769897,0.5768494606018066,0.0,0.024752475321292877,0.08250825107097626,0.009900989942252636,0.07812771946191788,0.08023248612880707,0.06114104017615318,0.05771462619304657,0.3196110427379608,0.3363325595855713,0.2964552342891693,0.3087725043296814,0.005705655086785555,0.0,0.0,0.0006674824981018901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Baseline (Final),final_baseline_epoch60.pt,0.009900989942252636,0.019801979884505272,0.019801979884505272,0.011881188489496708,0.5295621752738953,0.5051572918891907,0.49118825793266296,0.5107025504112244,0.049504950642585754,0.09900990128517151,0.049504950642585754,0.06930693238973618,0.0356970839202404,0.04284738749265671,0.015783721581101418,0.027575727552175522,0.3366556763648987,0.32568463683128357,0.2879577875137329,0.3091731667518616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Backarb (Best),best_backARB_mAP.pt,0.24437972903251648,0.26696670055389404,0.13627740740776062,0.2031117081642151,0.7689937949180603,0.7571011781692505,0.7567459344863892,0.7622983455657959,0.19801980257034302,0.12376237660646439,0.0891089141368866,0.12185833603143692,0.08253598213195801,0.07083015888929367,0.041749175637960434,0.053228072822093964,0.3228304088115692,0.3599851131439209,0.3611830174922943,0.3419552147388458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Backarb (Final),final_backARB_epoch60.pt,0.1625412553548813,0.15346534550189972,0.16914191842079163,0.15885087847709656,0.6843186020851135,0.6951309442520142,0.6673564910888672,0.6760669350624084,0.09900990128517151,0.049504950642585754,0.09900990128517151,0.07920791953802109,0.04809052497148514,0.05148514732718468,0.07637906819581985,0.05786389112472534,0.3758591413497925,0.38252002000808716,0.4014548361301422,0.37176185846328735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Decarb (Best),best_decARB_mAP.pt,0.07487928867340088,0.10507108271121979,0.038523852825164795,0.06418827921152115,0.43918561935424805,0.43281060457229614,0.377373605966568,0.4134843051433563,0.0,0.0,0.0,0.0,0.03849392011761665,0.029005717486143112,0.026092570275068283,0.02942780591547489,0.31010007858276367,0.37188875675201416,0.2951897978782654,0.32050320506095886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Decarb (Final),final_decARB_epoch60.pt,0.06930693238973618,0.023102309554815292,0.019801979884505272,0.0386020727455616,0.5405399203300476,0.5306130051612854,0.49363550543785095,0.5204590559005737,0.0,0.0,0.0,0.0,0.06218516454100609,0.04608675092458725,0.02750604972243309,0.04161116108298302,0.3318014144897461,0.32097098231315613,0.3015066981315613,0.31585076451301575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Botharb (Best),best_bothARB_mAP.pt,0.17441876232624054,0.14404526352882385,0.05734323337674141,0.11979150027036667,0.506820023059845,0.4900674819946289,0.4588935971260071,0.48629191517829895,0.049504950642585754,0.0,0.0,0.019801979884505272,0.03393338620662689,0.03615421801805496,0.0680256262421608,0.04888765141367912,0.29848289489746094,0.26936623454093933,0.24277080595493317,0.2624972462654114,0.010859150439500809,0.0,0.009900989942252636,0.004509361926466227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Static_Botharb (Final),final_bothARB_epoch60.pt,0.12871287763118744,0.09900990128517151,0.08415841311216354,0.10531052947044373,0.5744239091873169,0.5952197909355164,0.5866625905036926,0.5849053859710693,0.0,0.049504950642585754,0.0,0.019801979884505272,0.03789032623171806,0.019801979884505272,0.030765146017074585,0.025589751079678535,0.33580857515335083,0.33419957756996155,0.3337021768093109,0.3273543417453766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Baseline (Best),best_dynamic-baseline_mAP.pt,0.024516737088561058,0.04101838916540146,0.08316832035779953,0.04566986858844757,0.4799414873123169,0.46728551387786865,0.4587842524051666,0.4656723737716675,0.049504950642585754,0.024752475321292877,0.0,0.015841584652662277,0.09629660844802856,0.06065003201365471,0.07378321141004562,0.07186783105134964,0.2554861307144165,0.31831133365631104,0.24657604098320007,0.2670309245586395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Baseline (Final),final_dynamic-baseline_epoch60.pt,0.059405941516160965,0.039603959769010544,0.019801979884505272,0.037906646728515625,0.47746214270591736,0.4722396433353424,0.4295575022697449,0.4596852958202362,0.0,0.0,0.0,0.0,0.03651180490851402,0.0247444249689579,0.025395715609192848,0.0250138770788908,0.24306923151016235,0.2576002776622772,0.23062224686145782,0.23615653812885284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Backarb (Best),best_dynamic-backARB_mAP.pt,0.2326732724905014,0.2757275700569153,0.2681702673435211,0.2533867657184601,0.7815131545066833,0.7746546268463135,0.7647479772567749,0.7730407118797302,0.18725444376468658,0.1625019609928131,0.21447528898715973,0.18601754307746887,0.06008876860141754,0.030379435047507286,0.028698522597551346,0.038252927362918854,0.33852678537368774,0.3601089119911194,0.35300806164741516,0.3463563024997711,0.0,0.11221121996641159,0.0,0.01080107968300581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic_Backarb (Final),final_dynamic-backARB_epoch60.pt,0.1965346485376358,0.2599009871482849,0.24571329355239868,0.22107550501823425,0.7455228567123413,0.7468661665916443,0.7221973538398743,0.7363832592964172,0.049504950642585754,0.039603959769010544,0.012376237660646439,0.025783827528357506,0.02725718915462494,0.0330033004283905,0.059405941516160965,0.03402499482035637,0.32062777876853943,0.3060542345046997,0.27977705001831055,0.29766738414764404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
