Model,Weights,mAP50_Total,mAP50_Small,mAP50_Medium,mAP50_Large,mAP_Light,mAP_Moderate,mAP_Dense,PSNR_Avg,SSIM_Avg,PSNR_Light,SSIM_Light,PSNR_Moderate,SSIM_Moderate,PSNR_Dense,SSIM_Dense,mAP_Car_Light,mAP_Car_Moderate,mAP_Car_Dense,Best_Epoch
Static_Baseline (Best),best_baseline_mAP.pt,0.13207779824733734,0.15692493319511414,0.18093529343605042,0.18587328493595123,0.13806948065757751,0.1426514983177185,0.1337229609489441,23.44588239987691,0.89815736,22.409034414291384,0.92217755,22.163705101013182,0.8936003,25.76490768432617,0.8786949,0.6231482028961182,0.6265444159507751,0.5869228839874268,18
Static_Baseline (Final),final_baseline_epoch60.pt,0.11665590852499008,0.12909634411334991,0.1576194018125534,0.14033928513526917,0.1330452412366867,0.12316923588514328,0.10904501378536224,23.71124973297119,0.9049605,24.859223937988283,0.9331436,23.902175102233887,0.9018336,22.372350158691408,0.87990385,0.5556158423423767,0.5428758859634399,0.5116214752197266,18
Static_Backarb (Best),best_backARB_mAP.pt,0.17394204437732697,0.205900177359581,0.21619440615177155,0.24807843565940857,0.18431571125984192,0.18094809353351593,0.16334788501262665,23.201614875793457,0.89792687,24.37291841506958,0.92932236,22.64528829574585,0.8926206,22.586637916564943,0.871836,0.7460182309150696,0.7302222847938538,0.7285507917404175,18
Static_Backarb (Final),final_backARB_epoch60.pt,0.14570023119449615,0.13781848549842834,0.1962776780128479,0.2005760371685028,0.1505114883184433,0.14822246134281158,0.1514345109462738,22.751596717834474,0.89632386,22.925647964477537,0.9180691,22.06770446777344,0.89131415,23.26143772125244,0.87958777,0.6688454747200012,0.666556179523468,0.6502470970153809,18
Static_Decarb (Best),best_decARB_mAP.pt,0.11600186675786972,0.14159055054187775,0.136995330452919,0.17511817812919617,0.14342541992664337,0.12801241874694824,0.1046365275979042,27.44272371927897,0.9020629,28.761696949005128,0.9416497,28.34663263320923,0.90966994,25.21984157562256,0.8548695,0.5189329981803894,0.5034603476524353,0.4537406265735626,7
Static_Decarb (Final),final_decARB_epoch60.pt,0.10669778287410736,0.10465693473815918,0.1533675193786621,0.15651367604732513,0.11290252208709717,0.11266090720891953,0.10068977624177933,30.497786610921224,0.925766,34.65796001434326,0.9567467,30.509074325561524,0.9274498,26.326325492858885,0.8931012,0.5455238223075867,0.5550673604011536,0.5038301348686218,7
Static_Botharb (Best),best_bothARB_mAP.pt,0.11055175215005875,0.12842145562171936,0.16019941866397858,0.11355963349342346,0.12797251343727112,0.11437965929508209,0.10375913232564926,27.3382825978597,0.913057,32.521258697509765,0.9499898,26.624243755340576,0.91789144,22.86934534072876,0.8712896,0.5676766633987427,0.554332435131073,0.49917706847190857,9
Static_Botharb (Final),final_bothARB_epoch60.pt,0.12089799344539642,0.1280766874551773,0.1692275106906891,0.1567670851945877,0.12711481750011444,0.12610399723052979,0.11837977916002274,27.84707155227661,0.91648084,32.90000431060791,0.9540824,27.012257633209227,0.91793305,23.628952713012694,0.877428,0.5974718928337097,0.6064781546592712,0.5801845788955688,9
Dynamic_Baseline (Best),best_dynamic-baseline_mAP.pt,0.1147201657295227,0.140726700425148,0.16775977611541748,0.1475507915019989,0.1296835094690323,0.12262991815805435,0.11042758077383041,23.935566069285073,0.8950362,23.728583164215088,0.9298257,23.41072772979736,0.8888552,24.667387313842774,0.8664284,0.54310542345047,0.5278832316398621,0.5155059695243835,17
Dynamic_Baseline (Final),final_dynamic-baseline_epoch60.pt,0.09619460254907608,0.11660782247781754,0.1474732607603073,0.09068991243839264,0.10463394969701767,0.10020753741264343,0.09587346017360687,23.85525187174479,0.9073069,25.862224559783936,0.94135934,24.113724403381347,0.9085535,21.589806652069093,0.8720072,0.5239836573600769,0.5091886520385742,0.4846082031726837,17
Dynamic_Backarb (Best),best_dynamic-backARB_mAP.pt,0.18008098006248474,0.20308759808540344,0.25141721963882446,0.23759561777114868,0.1830679029226303,0.18467457592487335,0.18277448415756226,22.775390513737996,0.89663553,18.58477137565613,0.9013846,23.037193241119386,0.90971893,26.704206924438477,0.8788043,0.7593499422073364,0.7499253153800964,0.7356347441673279,17
Dynamic_Backarb (Final),final_dynamic-backARB_epoch60.pt,0.14756937325000763,0.1496928334236145,0.20639453828334808,0.18577994406223297,0.15718582272529602,0.1507604718208313,0.14692755043506622,23.29295883178711,0.90019745,18.14137233734131,0.8975682,24.246745052337648,0.9143992,27.490759105682372,0.8886242,0.7177317142486572,0.7096351981163025,0.6780731678009033,17
