Model,Weights,mAP50_Total,mAP50_Small,mAP50_Medium,mAP50_Large,mAP_Light,mAP_Moderate,mAP_Dense,PSNR_Avg,SSIM_Avg,PSNR_Light,SSIM_Light,PSNR_Moderate,SSIM_Moderate,PSNR_Dense,SSIM_Dense,mAP_Car_Light,mAP_Car_Moderate,mAP_Car_Dense,Best_Epoch
Static_Baseline_ss (Best),best_baseline_SS_mAP.pt,0.11089763790369034,0.1441194713115692,0.15136417746543884,0.11735066771507263,0.11496961861848831,0.1168050765991211,0.11652955412864685,23.983972441355387,0.8992894,21.569737434387207,0.91724616,24.173454647064208,0.8999485,26.208725242614747,0.8806747,0.5653120279312134,0.5572569370269775,0.5111097693443298,21
Static_Baseline_ss (Final),final_baseline_SS_epoch60.pt,0.10843787342309952,0.14150370657444,0.1493818759918213,0.11512795835733414,0.12049911171197891,0.11345550417900085,0.106312595307827,24.585151472091674,0.903678,23.892302370071413,0.928169,24.31545986175537,0.90159106,25.54769218444824,0.88127434,0.552699625492096,0.5290621519088745,0.5294556021690369,21
Static_Backarb_ss (Best),best_backARB_SS_mAP.pt,0.16368457674980164,0.15909801423549652,0.22497355937957764,0.2115717977285385,0.1681826114654541,0.17172490060329437,0.1667616218328476,22.668875420888266,0.8939478,19.830813007354735,0.90521604,21.89857503890991,0.89213914,26.277238216400146,0.88448787,0.7164829969406128,0.7131519317626953,0.675994873046875,29
Static_Backarb_ss (Final),final_backARB_SS_epoch60.pt,0.14895685017108917,0.14850182831287384,0.19771835207939148,0.1972048133611679,0.14628945291042328,0.15572690963745117,0.15153096616268158,24.14648005167643,0.8978646,23.47774242401123,0.9241974,23.279999904632568,0.8954778,25.6816978263855,0.87391907,0.7024630308151245,0.6940163969993591,0.6698046922683716,29
Static_Decarb_ss (Best),best_decARB_SS_mAP.pt,0.11510647088289261,0.14858059585094452,0.16833248734474182,0.10098631680011749,0.12265301495790482,0.1198728159070015,0.11706987023353577,27.6125129254659,0.9190485,31.991470756530763,0.95159876,27.508571681976317,0.9221165,23.337496337890624,0.8834307,0.5736002326011658,0.5522143840789795,0.5214179158210754,22
Static_Decarb_ss (Final),final_decARB_SS_epoch60.pt,0.10247648507356644,0.12765008211135864,0.1501813381910324,0.0891665518283844,0.10296604037284851,0.10224049538373947,0.10586138069629669,26.210931545893352,0.9164115,34.27091854095459,0.9582591,21.64735366821289,0.9050489,22.714522428512574,0.8859274,0.5269954204559326,0.5181863903999329,0.48131632804870605,22
Static_Botharb_ss (Best),best_bothARB_SS_mAP.pt,0.14594116806983948,0.13282272219657898,0.21515260636806488,0.20039422810077667,0.14470431208610535,0.15408484637737274,0.1481558233499527,27.348986371358237,0.9183653,31.211378841400148,0.94917816,26.985888805389404,0.9221151,23.849691467285155,0.8838022,0.7130283713340759,0.7175176739692688,0.6938950419425964,11
Static_Botharb_ss (Final),final_bothARB_SS_epoch60.pt,0.15830759704113007,0.14253291487693787,0.21185243129730225,0.2823745310306549,0.16545556485652924,0.16226178407669067,0.1566079705953598,25.904116214116414,0.8934562,30.906573848724364,0.94440734,26.305322437286378,0.90043414,20.5004523563385,0.83552825,0.7040200233459473,0.6849766969680786,0.6648802161216736,11
Dynamic_Backarb_scale (Best),best_dynamic-backARB_Scale_mAP.pt,0.15791021287441254,0.16111785173416138,0.2218773066997528,0.1924431025981903,0.1676299273967743,0.1661495715379715,0.15526635944843292,21.661680596669516,0.8844222,20.25859609603882,0.90293115,20.30248399734497,0.8811065,24.423961696624755,0.86922896,0.7092459201812744,0.7108912467956543,0.6670830845832825,8
Dynamic_Backarb_scale (Final),final_dynamic-backARB_Scale_epoch60.pt,0.13259951770305634,0.1432773321866989,0.1807764172554016,0.18124094605445862,0.1373966485261917,0.1342558115720749,0.1442931592464447,19.946417722702027,0.87519693,15.7131236743927,0.8714434,18.978891487121583,0.8720248,25.147238006591795,0.8821221,0.6981026530265808,0.6874914169311523,0.6670289635658264,8
Dynamic_Decarb_scale (Best),best_dynamic-decARB_Scale_mAP.pt,0.1164807602763176,0.12420903891324997,0.16645926237106323,0.14337213337421417,0.12579302489757538,0.11575723439455032,0.12397156655788422,26.572925259272257,0.9063454,33.19441690444946,0.9512906,27.57154956817627,0.915707,18.95280930519104,0.85203934,0.6343270540237427,0.5923909544944763,0.5572416186332703,9
Dynamic_Decarb_scale (Final),final_dynamic-decARB_Scale_epoch60.pt,0.10810639709234238,0.10975319892168045,0.16184940934181213,0.1224336326122284,0.11683113127946854,0.11488565057516098,0.10067000240087509,24.384284839630126,0.88378745,33.85164684295654,0.9563012,25.934304733276367,0.9191794,13.36690294265747,0.7758815,0.5246224403381348,0.5199041962623596,0.47993263602256775,9
Dynamic_Botharb_scale (Best),best_dynamic-bothARB_Scale_mAP.pt,0.14433793723583221,0.16184546053409576,0.19254420697689056,0.15474054217338562,0.14771059155464172,0.14822526276111603,0.14555715024471283,29.258869126637777,0.919775,33.14882987976074,0.9498834,30.275776710510254,0.9242319,24.352000789642332,0.8852086,0.6315868496894836,0.6485393643379211,0.602203369140625,11
Dynamic_Botharb_scale (Final),final_dynamic-bothARB_Scale_epoch60.pt,0.1355140209197998,0.12364581972360611,0.18171954154968262,0.17447185516357422,0.1415373682975769,0.1417204737663269,0.1372281014919281,,,,,,,,,0.6010750532150269,0.6088355183601379,0.5680063962936401,11
