filename,illumination,chosen_gt
dense_10.jpg,Dense,low
dense_1000.jpg,Dense,high
dense_1002.jpg,Dense,high
dense_1004.jpg,Dense,high
dense_101.jpg,Dense,low
dense_1012.jpg,Dense,low
dense_1013.jpg,Dense,high
dense_1015.jpg,Dense,high
dense_1017.jpg,Dense,low
dense_1018.jpg,Dense,high
dense_102.jpg,Dense,high
dense_1020.jpg,Dense,low
dense_1021.jpg,Dense,low
dense_1022.jpg,Dense,high
dense_1023.jpg,Dense,high
dense_1024.jpg,Dense,high
dense_1025.jpg,Dense,high
dense_1027.jpg,Dense,high
dense_103.jpg,Dense,high
dense_1032.jpg,Dense,high
dense_104.jpg,Dense,low
dense_1040.jpg,Dense,high
dense_1042.jpg,Dense,low
dense_1043.jpg,Dense,high
dense_1047.jpg,Dense,low
dense_1050.jpg,Dense,high
dense_1051.jpg,Dense,high
dense_1052.jpg,Dense,high
dense_1055.jpg,Dense,high
dense_1056.jpg,Dense,high
dense_1057.jpg,Dense,high
dense_1059.jpg,Dense,high
dense_106.jpg,Dense,high
dense_1065.jpg,Dense,low
dense_1066.jpg,Dense,low
dense_1067.jpg,Dense,high
dense_1068.jpg,Dense,low
dense_1069.jpg,Dense,high
dense_107.jpg,Dense,high
dense_1070.jpg,Dense,high
dense_1071.jpg,Dense,high
dense_1073.jpg,Dense,high
dense_1074.jpg,Dense,low
dense_1075.jpg,Dense,high
dense_1076.jpg,Dense,high
dense_1077.jpg,Dense,low
dense_1079.jpg,Dense,low
dense_108.jpg,Dense,high
dense_1080.jpg,Dense,high
dense_1083.jpg,Dense,high
dense_1085.jpg,Dense,high
dense_1086.jpg,Dense,high
dense_1087.jpg,Dense,high
dense_1089.jpg,Dense,high
dense_109.jpg,Dense,low
dense_1090.jpg,Dense,high
dense_1092.jpg,Dense,low
dense_1094.jpg,Dense,high
dense_1095.jpg,Dense,low
dense_1096.jpg,Dense,low
dense_1097.jpg,Dense,high
dense_1098.jpg,Dense,low
dense_1099.jpg,Dense,high
dense_110.jpg,Dense,high
dense_1100.jpg,Dense,low
dense_1102.jpg,Dense,high
dense_1103.jpg,Dense,low
dense_1104.jpg,Dense,high
dense_1105.jpg,Dense,high
dense_1106.jpg,Dense,high
dense_1107.jpg,Dense,high
dense_1108.jpg,Dense,high
dense_1110.jpg,Dense,high
dense_1111.jpg,Dense,high
