epoch,train_loss_total,train_loss_det,train_loss_enh,train_w_det,train_w_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,81.54208144723061,81.42421162763733,0.12935856451224945,1.000001951818556,1.0128542033482495,166.50356006622314,60.224899542959115,60.202851847598424,0.051202111534382165,21.420336371973942,0.7693972,0.02009870484471321,0.02009870484471321,0.02009870484471321,0.15990813076496124,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,46.96983158625779,46.988063139601564,0.048830387786871585,1.0000068950802554,1.0738583913417445,100.13779997825623,37.604073223314785,37.68096271314119,0.04267471528759128,23.225343654030247,0.8760614,0.13438811898231506,0.13438811898231506,0.13438811898231506,0.43371328711509705,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,31.966874019479302,32.12795545015963,0.04317254560260937,1.0000164749854037,1.2422725967478976,99.54516744613647,29.657528626291377,29.930849778024776,0.03736913076748973,24.323936713369267,0.8955126,0.18309080600738525,0.18309080600738525,0.18309080600738525,0.5261470675468445,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,25.55797062398498,25.967769198283133,0.04059267839340954,1.0000302959759033,1.617095047216804,165.02976393699646,26.494602228465833,27.066965203536185,0.038952894508838654,23.939047863608913,0.8972515,0.2124851644039154,0.2124851644039154,0.2124851644039154,0.5223308205604553,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,21.98811073363014,22.743852365726962,0.03977967867610223,1.000040463706169,2.358101422510177,100.35539102554321,25.04401952341983,25.977335628710296,0.046179509770713355,21.941040390416195,0.8706167,0.24051691591739655,0.24051691591739655,0.24051691591739655,0.5381174087524414,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,19.281930631978383,20.44745781578614,0.036529746446700116,1.0000535217945852,3.708712328564037,101.30947470664978,23.010849275087054,24.40223136701082,0.031723421312084325,25.20661815844084,0.90971,0.2818739116191864,0.2818739116191864,0.2818739116191864,0.5263604521751404,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,17.167873582869863,18.74758432651388,0.03262989880768203,1.0000531761250153,5.943469918260006,100.54911613464355,22.86443451831215,24.635962134913395,0.03138633288050953,25.657232836673135,0.9129594,0.27047210931777954,0.27047210931777954,0.27047210931777954,0.5567266345024109,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,15.51117959366323,17.462767248243374,0.029725971628786256,1.000058482620036,9.359993830743628,100.79714274406433,21.794330471440365,23.908269430461683,0.028997791685948248,25.805813387820596,0.9173038,0.26462796330451965,0.26462796330451965,0.26462796330451965,0.4803297817707062,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,14.22654357898198,16.49576280109561,0.026935762232373876,1.0000698831761519,14.338628405687578,100.445809841156,21.875797171341745,24.265233993530273,0.026684704285703208,26.28874849018298,0.9199717,0.25090521574020386,0.25090521574020386,0.25090521574020386,0.4947863221168518,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,13.251745103668643,15.712253137068315,0.027265242330122706,1.0000780161271647,20.536527212136964,96.38691329956055,23.137408181240684,25.661051248249255,0.02714211925079948,26.32923005756579,0.9206658,0.241312637925148,0.241312637925148,0.241312637925148,0.48724356293678284,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
