epoch,train_loss_total,train_loss_det,train_loss_enh,train_w_det,train_w_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,81.79480856414125,81.68599180143829,0.12041891245959695,1.0000024919973272,1.0128877773927671,179.16574096679688,60.69076417621813,60.67827320098877,0.04237735624376096,23.063753931145918,0.7939908,0.017323827371001244,0.017323827371001244,0.017323827371001244,0.14955788850784302,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,47.27807095207764,47.30837061412656,0.037714787481533694,1.0000064681316245,1.0739965825618996,179.23350954055786,38.86726675535503,38.954381440815176,0.03382603093785675,25.232370627553838,0.8844165,0.11673985421657562,0.11673985421657562,0.11673985421657562,0.3924003541469574,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,31.93854300579681,32.11252102508067,0.03307734470417414,1.000016513289329,1.242673715827607,179.01168990135193,29.78424852772763,30.074516346580104,0.02574150225049571,27.287405415585166,0.9054062,0.17241345345973969,0.17241345345973969,0.17241345345973969,0.5014625787734985,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,25.528571051116273,25.959426980033562,0.028560742832206446,1.0000309321947607,1.6192051035857127,178.72984552383423,27.80571995283428,28.416828808031585,0.019935114848378458,28.75843489797492,0.9174841,0.2011762112379074,0.2011762112379074,0.2011762112379074,0.5075453519821167,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,21.817742413487927,22.614030861929294,0.02475542519358352,1.0000425786433922,2.3716078750018417,179.45353317260742,24.6549845745689,25.662567816282575,0.02337671135013041,27.807367425215872,0.9127462,0.23624078929424286,0.23624078929424286,0.23624078929424286,0.5546247959136963,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,19.17549421196821,20.40136076140927,0.02337362783374177,1.0000539900367162,3.7590577871448194,179.06226515769958,22.969089884507028,24.434261522795026,0.019345175523899104,29.13124014201917,0.922496,0.2841741442680359,0.2841741442680359,0.2841741442680359,0.5542883276939392,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,17.018315064122312,18.673651481496876,0.022978436092329343,1.0000555425602067,6.076593574685363,179.10430574417114,22.056391264262952,23.936888619473105,0.01930730726177755,29.200604238008196,0.9281022,0.3304052948951721,0.3304052948951721,0.3304052948951721,0.6140616536140442,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,15.323175540912114,17.37902102126597,0.021248529084190306,1.0000618886798154,9.712023906199535,179.0935697555542,21.103955469633405,23.358940475865413,0.019365106611267516,29.293100256668893,0.9293957,0.3057900071144104,0.3057900071144104,0.3057900071144104,0.5271339416503906,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,14.035070287770239,16.435275811760402,0.020132120891377843,1.0000585220450517,15.079284618640768,182.48666048049927,20.955750264619525,23.505196521156712,0.019603864240803216,29.217573567440635,0.9277646,0.3067874014377594,0.3067874014377594,0.3067874014377594,0.6271563768386841,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,13.029479889286723,15.680408791688542,0.020211624489589172,1.0000682731033492,22.311746160812138,179.6434485912323,20.86029445497613,23.60017236910368,0.02042856234076776,29.118876607794512,0.93154335,0.3356270492076874,0.3356270492076874,0.3356270492076874,0.5515428781509399,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
