epoch,train_loss_total,train_loss_det,train_loss_enh,epoch_duration,val_loss_total,val_loss_det,val_loss_enh,val_psnr,val_ssim,val_prec_prox,val_mAP50,val_mAP,val_recall,lr_backbone,lr_det,lr_dec
0,48.939226276074834,81.48729074113422,0.11712469609576893,157.5929958820343,36.02932013963398,60.01546799509149,0.05009403256209273,21.622515226665296,0.7889586,0.01930466666817665,0.01930466666817665,0.01930466666817665,0.15020014345645905,1.0434064616132949e-05,1.0434064616132949e-05,0.00010434064616132938
1,28.159120332484708,46.90021073631358,0.04748185612202905,96.63041067123413,22.533341382679186,37.5303312602796,0.03785437384718343,23.94471610219855,0.87721354,0.13152523338794708,0.13152523338794708,0.13152523338794708,0.47249317169189453,2.801137565267452e-05,2.801137565267452e-05,0.00028011375652674513
2,19.309426593182604,32.154056158932775,0.04248030186516925,97.03199291229248,18.1582132138704,30.227301120758057,0.05457973509634796,21.16549301147461,0.8826359,0.19793079793453217,0.19793079793453217,0.19793079793453217,0.5245211124420166,5.20197016518341e-05,5.20197016518341e-05,0.000520197016518341
3,15.660333668550354,26.073132062033054,0.04113441037136746,96.22974848747253,16.814361998909398,28.000143101340846,0.03568860114012894,24.599151611328125,0.9008608,0.2074311524629593,0.2074311524629593,0.2074311524629593,0.5377553701400757,7.602274591345429e-05,7.602274591345429e-05,0.0007602274591345429
4,13.667549432258248,22.753409550107758,0.03875784060938231,96.02865290641785,15.546363065117283,25.88983184412906,0.031158148556163435,25.316399473893014,0.9083557,0.24011003971099854,0.24011003971099854,0.24011003971099854,0.5763311982154846,9.358562769740331e-05,9.358562769740331e-05,0.0009358562769740331
5,12.335003643574012,20.535082453844314,0.03488412020628729,92.53228044509888,16.270119390989606,27.097837197153194,0.028541031636689838,26.01825633801912,0.910991,0.23860983550548553,0.23860983550548553,0.23860983550548553,0.5520069003105164,9.999999979212171e-05,9.999999979212171e-05,0.0009999999979212171
6,11.28971254115568,18.79470472126545,0.03222321496756753,92.4171838760376,15.043744037025853,25.054781336533395,0.02718682469506013,26.32239236329731,0.9159065,0.24661798775196075,0.24661798775196075,0.24661798775196075,0.5265472531318665,9.99151429413104e-05,9.99151429413104e-05,0.0009991514294131038
7,10.520098158558334,17.51324641368232,0.03037486726645859,92.57680368423462,14.67929710839924,24.447972172184993,0.026282831046142076,26.506068330062064,0.91871315,0.26743531227111816,0.26743531227111816,0.26743531227111816,0.5573857426643372,9.96613897237883e-05,9.96613897237883e-05,0.000996613897237883
8,9.924948227442918,16.523560938042905,0.027028225844019448,91.43795943260193,14.610543238489251,24.331213825627376,0.02953567958780025,25.74037160371479,0.91747123,0.2819617688655853,0.2819617688655853,0.2819617688655853,0.4985831379890442,9.923959876011988e-05,9.923959876011988e-05,0.0009923959876011988
9,9.453740944309294,15.739039800757524,0.025791690401662855,92.0945565700531,14.534758881518716,24.20697325154355,0.026436046746216323,26.570683830662777,0.92187345,0.2543354630470276,0.2543354630470276,0.2543354630470276,0.5263137817382812,9.86511972574114e-05,9.86511972574114e-05,0.000986511972574114
10,9.070247179288476,15.100414833678721,0.024994804462575612,92.49730181694031,14.526029034664756,24.193746767546003,0.02445144225892268,26.94846665231805,0.92002815,0.27463528513908386,0.27463528513908386,0.27463528513908386,0.47095268964767456,9.78981761800939e-05,9.78981761800939e-05,0.000978981761800939
11,8.74069240100705,14.5515637883572,0.02438435253036153,91.67131853103638,14.31800611395585,23.846314129076507,0.025542329212552624,26.800341405366595,0.92287344,0.2624157667160034,0.2624157667160034,0.2624157667160034,0.4921903610229492,9.698308351312983e-05,9.698308351312983e-05,0.0009698308351312981
12,8.498840349221304,14.149428526062204,0.022957177667770546,92.16187405586243,14.229988612626729,23.699800039592542,0.025269648550372375,26.302923955415423,0.92088056,0.24957168102264404,0.24957168102264404,0.24957168102264404,0.47045910358428955,9.590901564043844e-05,9.590901564043844e-05,0.0009590901564043844
13,8.25827913971904,13.748333757573908,0.023196368484077596,92.55492806434631,14.542417701921964,24.221064969112998,0.024445247591326113,26.856469907258685,0.9237805,0.2619223892688751,0.2619223892688751,0.2619223892688751,0.45428213477134705,9.467960686771277e-05,9.467960686771277e-05,0.0009467960686771276
14,8.067134810091934,13.430456880491729,0.022150846112075736,95.5694854259491,14.255685329437256,23.745535398784437,0.020908248194150235,27.815792384900544,0.92653686,0.2731039226055145,0.2731039226055145,0.2731039226055145,0.4657730758190155,9.329901712507953e-05,9.329901712507953e-05,0.0009329901712507952
